time,open,high,low,close,volume
9/6/2022 4:05,161.44,161.44,161.44,161.44,711
9/6/2022 4:10,160.88,160.88,160.88,160.88,320
9/6/2022 4:15,160.87,160.87,160.87,160.87,782
9/6/2022 4:45,161.28,161.77,161.28,161.5,1072
9/6/2022 4:50,161.6,161.6,161.6,161.6,250
9/6/2022 4:55,161.46,161.46,161.45,161.45,810
9/6/2022 5:05,161.18,161.18,161.18,161.18,200
9/6/2022 5:10,161.26,161.28,161.26,161.28,290
9/6/2022 5:20,161.28,161.28,161.26,161.26,431
9/6/2022 5:25,161.25,161.29,161.25,161.29,651
9/6/2022 5:30,161.49,161.49,161.49,161.49,110
9/6/2022 5:35,161.32,161.32,161.31,161.31,253
9/6/2022 6:00,161.5,161.5,161.5,161.5,604
9/6/2022 6:05,161.48,161.48,161.48,161.48,100
9/6/2022 6:25,161.7,161.7,161.7,161.7,585
9/6/2022 6:30,161.72,161.94,161.72,161.75,3146
9/6/2022 6:45,161.61,161.61,161.59,161.6,1955
9/6/2022 6:50,161.67,161.69,161.67,161.69,500
9/6/2022 7:05,161.4,161.5,161.3,161.48,7906
9/6/2022 7:10,161.49,161.49,161.44,161.45,3950
9/6/2022 7:15,161.43,161.43,161.35,161.35,2648
9/6/2022 7:20,161.24,161.32,161.23,161.32,756
9/6/2022 7:25,161.3,161.31,161.3,161.31,618
9/6/2022 7:30,161.2,161.2,161.2,161.2,1115
9/6/2022 7:35,161.02,161.02,161.02,161.02,700
9/6/2022 7:40,161.05,161.05,160.5,160.6,7817
9/6/2022 7:45,160.52,160.52,160.52,160.52,815
9/6/2022 7:50,160.85,160.85,160.7,160.7,616
9/6/2022 7:55,160.77,160.88,160.68,160.88,928
9/6/2022 8:00,160.93,161.12,160.93,161.01,2240
9/6/2022 8:05,161.4,161.55,160.45,161.21,30579
9/6/2022 8:10,161.2,161.36,161.01,161.36,3857
9/6/2022 8:15,161.51,161.6,161.11,161.2,1936
9/6/2022 8:20,160.81,161,160.81,161,1148
9/6/2022 8:25,160.9,161,160.85,161,4445
9/6/2022 8:30,160.8,160.96,160.8,160.96,685
9/6/2022 8:35,160.895,160.955,160.8,160.865,4419
9/6/2022 8:40,160.83,160.99,160.83,160.99,2657
9/6/2022 8:45,161.1,161.2887,161.1,161.18,926
9/6/2022 8:50,161.22,161.22,160.8,160.8,3301
9/6/2022 8:55,161.24,161.24,161.24,161.24,966
9/6/2022 9:00,160.8132,161.2821,160.8132,161.2,3276
9/6/2022 9:05,161.15,161.15,161.15,161.15,274
9/6/2022 9:10,160.88,160.9,160.74,160.9,5765
9/6/2022 9:15,160.66,160.66,160.62,160.62,1080
9/6/2022 9:20,160.75,160.862,160.75,160.862,889
9/6/2022 9:25,160.87,160.9,160.72,160.89,5454
9/6/2022 9:30,160.71,160.71,159.5,160.25,28468
9/6/2022 9:35,160.1,160.6624,159.6114,160.3589,648512
9/6/2022 9:40,160.45,161.65,160.19,160.8026,490586
9/6/2022 9:45,160.8215,161.69,160.33,161.18,562058
9/6/2022 9:50,161.17,161.48,160.06,160.46,1037905
9/6/2022 9:55,160.51,160.8796,160.11,160.15,466087
9/6/2022 10:00,160.145,160.16,159.32,159.845,392085
9/6/2022 10:05,159.77,159.785,158.01,158.1799,588864
9/6/2022 10:10,158.17,158.73,158.0506,158.575,328592
9/6/2022 10:15,158.54,158.65,157.71,158.4,326825
9/6/2022 10:20,158.4016,158.478,157.91,158.3222,215985
9/6/2022 10:25,158.32,158.4775,157.71,157.99,231324
9/6/2022 10:30,158.025,158.81,157.84,158.425,422780
9/6/2022 10:35,158.3822,158.6,157.96,158.375,261870
9/6/2022 10:40,158.39,159.155,158.16,159.04,260221
9/6/2022 10:45,159.06,159.61,159.02,159.3397,310301
9/6/2022 10:50,159.3,159.4603,158.9279,159.11,216094
9/6/2022 10:55,159.085,160.17,158.96,159.79,261859
9/6/2022 11:00,159.82,160.37,159.72,160.02,298872
9/6/2022 11:05,160.02,160.04,159.37,159.43,193865
9/6/2022 11:10,159.46,159.99,159.17,159.53,183052
9/6/2022 11:15,159.56,159.6573,159.06,159.255,152129
9/6/2022 11:20,159.3,159.32,158.92,159.11,148318
9/6/2022 11:25,159.0936,159.479,158.86,159.4744,161252
9/6/2022 11:30,159.465,159.7721,158.98,159.0277,178886
9/6/2022 11:35,159.04,159.95,158.94,159.4185,188218
9/6/2022 11:40,159.43,159.52,158.9289,159.13,146053
9/6/2022 11:45,159.0694,159.88,159.01,159.5791,143007
9/6/2022 11:50,159.58,159.77,159.24,159.35,93428
9/6/2022 11:55,159.36,159.97,159.29,159.85,127881
9/6/2022 12:00,159.84,160.18,159.74,159.9599,158330
9/6/2022 12:05,159.97,160.49,159.86,160.235,212592
9/6/2022 12:10,160.25,160.62,159.5,159.6702,252435
9/6/2022 12:15,159.69,159.73,159.34,159.395,181601
9/6/2022 12:20,159.38,159.47,159,159.07,175294
9/6/2022 12:25,159.07,159.28,158.84,158.9968,145840
9/6/2022 12:30,158.98,159.15,158.64,159.1,127326
9/6/2022 12:35,159.1,159.21,158.9,158.96,122897
9/6/2022 12:40,158.9527,159.1,158.83,158.89,115970
