,stock_close,stock_volume,spy_close,spy_volume,overall_sentiment_score,stock_close
2022-09-06 04:05:00,1.3996874917230746,-0.4988595304046949,1.2786929395750417,-0.6191379195963443,0.0,161.44
2022-09-06 04:10:00,1.3722012059697177,-0.49964820521663134,1.2496194397287024,-0.6213378175930238,-1.6726522040156184,160.88
2022-09-06 04:15:00,1.3717103794384082,-0.4987163183544456,1.2339040341931087,-0.6168542602798549,-1.6726522040156184,160.87
2022-09-06 04:45:00,1.4026324509109345,-0.4981313677266666,1.2574771385513814,-0.5692336232644807,-1.6726522040156184,161.5
2022-09-06 04:50:00,1.4075407162240337,-0.4997894001957504,1.2543340621784065,-0.6114749221853836,-1.6726522040156184,161.6
2022-09-06 04:55:00,1.400178318254384,-0.4986598403627979,1.276335628350194,-0.6205083478565708,-1.6726522040156184,161.45
2022-09-06 05:05:00,1.3869260019090166,-0.499890253752264,1.2315467229682566,-0.6191879437178976,-1.6726522040156184,161.18
2022-09-06 05:10:00,1.3918342672221158,-0.4997087173505395,1.2150455443943005,-0.6228676250312223,-1.6726522040156184,161.28
2022-09-06 05:20:00,1.3908526141594955,-0.4994243103211711,1.2229032432169795,-0.6241554553233026,-1.6726522040156184,161.26
2022-09-06 05:25:00,1.3923250937534253,-0.49898055467251123,1.2488336666903397,-0.6238494938356629,-1.6726522040156184,161.29
2022-09-06 05:30:00,1.402141624379625,-0.5000717901539885,1.2464763554654876,-0.6251826948426406,-1.6726522040156184,161.49
2022-09-06 05:35:00,1.3933067468160456,-0.49978334898235954,1.2621917610010855,-0.6254072217137981,-1.6726522040156184,161.31
2022-09-06 06:00:00,1.4026324509109345,-0.49907535701563405,1.2692636946756377,-0.5905322655295286,-1.6726522040156184,161.5
2022-09-06 06:05:00,1.4016507978483141,-0.5000919608652912,1.2708352407523626,-0.6137911553484658,-1.6726522040156184,161.48
2022-09-06 06:25:00,1.4124489815371328,-0.4991136813671092,1.3549126639184064,-0.6133362848478304,-1.6726522040156184,161.7
2022-09-06 06:30:00,1.414903114193683,-0.49394796220248205,1.3470549650957273,-0.6010571080340015,-1.6726522040156184,161.75
2022-09-06 06:45:00,1.4075407162240337,-0.4963502939186363,1.3242676258855772,-0.6164389437357964,-1.6726522040156184,161.6
2022-09-06 06:50:00,1.4119581550058233,-0.49928513241318234,1.3093379854981109,-0.611691305594893,0.359412107271879,161.69
2022-09-06 07:05:00,1.4016507978483141,-0.4843467036223863,1.2991229675603397,-0.5949925558094168,-0.9906927447852409,161.48
